movie_key,genre_key,genre_order,is_primary
mov_tmdb_45612,gen_thriller,1,True
mov_tmdb_45612,gen_science_fiction,2,False
mov_tmdb_45612,gen_mystery,3,False
mov_tmdb_49018,gen_horror,1,True
mov_tmdb_49018,gen_thriller,2,False
mov_tmdb_46195,gen_animation,1,True
mov_tmdb_46195,gen_adventure,2,False
mov_tmdb_46195,gen_comedy,3,False
mov_tmdb_46195,gen_family,4,False
mov_tmdb_50456,gen_action,1,True
mov_tmdb_50456,gen_thriller,2,False
mov_tmdb_50456,gen_adventure,3,False
mov_tmdb_41446,gen_horror,1,True
mov_tmdb_41446,gen_mystery,2,False
mov_tmdb_55787,gen_drama,1,True
mov_tmdb_55787,gen_romance,2,False
mov_tmdb_51497,gen_action,1,True
mov_tmdb_51497,gen_thriller,2,False
mov_tmdb_51497,gen_crime,3,False
mov_tmdb_10195,gen_adventure,1,True
mov_tmdb_10195,gen_fantasy,2,False
mov_tmdb_10195,gen_action,3,False
mov_tmdb_38321,gen_action,1,True
mov_tmdb_38321,gen_fantasy,2,False
mov_tmdb_38321,gen_horror,3,False
mov_tmdb_49022,gen_comedy,1,True
mov_tmdb_49022,gen_drama,2,False
mov_tmdb_49022,gen_romance,3,False
mov_tmdb_59436,gen_fantasy,1,True
mov_tmdb_59436,gen_comedy,2,False
mov_tmdb_59436,gen_romance,3,False
mov_tmdb_55721,gen_comedy,1,True
mov_tmdb_55721,gen_romance,2,False
mov_tmdb_1865,gen_adventure,1,True
mov_tmdb_1865,gen_action,2,False
mov_tmdb_1865,gen_fantasy,3,False
mov_tmdb_52449,gen_comedy,1,True
mov_tmdb_49444,gen_animation,1,True
mov_tmdb_49444,gen_family,2,False
mov_tmdb_49444,gen_comedy,3,False
mov_tmdb_49444,gen_action,4,False
mov_tmdb_45243,gen_comedy,1,True
mov_tmdb_49538,gen_action,1,True
mov_tmdb_49538,gen_science_fiction,2,False
mov_tmdb_49538,gen_adventure,3,False
mov_tmdb_37686,gen_thriller,1,True
mov_tmdb_37686,gen_science_fiction,2,False
mov_tmdb_37686,gen_mystery,3,False
mov_tmdb_49013,gen_animation,1,True
mov_tmdb_49013,gen_family,2,False
mov_tmdb_49013,gen_adventure,3,False
mov_tmdb_49013,gen_comedy,4,False
mov_tmdb_44912,gen_adventure,1,True
mov_tmdb_44912,gen_action,2,False
mov_tmdb_44912,gen_science_fiction,3,False
mov_tmdb_58224,gen_comedy,1,True
mov_tmdb_58224,gen_family,2,False
mov_tmdb_38356,gen_action,1,True
mov_tmdb_38356,gen_science_fiction,2,False
mov_tmdb_38356,gen_adventure,3,False
mov_tmdb_59861,gen_comedy,1,True
mov_tmdb_59861,gen_romance,2,False
mov_tmdb_59861,gen_drama,3,False
mov_tmdb_38317,gen_comedy,1,True
mov_tmdb_38317,gen_romance,2,False
mov_tmdb_38317,gen_family,3,False
mov_tmdb_51540,gen_comedy,1,True
mov_tmdb_51540,gen_crime,2,False
mov_tmdb_12445,gen_adventure,1,True
mov_tmdb_12445,gen_fantasy,2,False
mov_tmdb_61202,gen_drama,1,True
mov_tmdb_61202,gen_comedy,2,False
mov_tmdb_61202,gen_romance,3,False
mov_tmdb_50544,gen_romance,1,True
mov_tmdb_50544,gen_comedy,2,False
mov_tmdb_1771,gen_action,1,True
mov_tmdb_1771,gen_adventure,2,False
mov_tmdb_1771,gen_science_fiction,3,False
mov_tmdb_62835,gen_action,1,True
mov_tmdb_62835,gen_thriller,2,False
mov_tmdb_62835,gen_crime,3,False
mov_tmdb_62835,gen_drama,4,False
mov_tmdb_71677,gen_action,1,True
mov_tmdb_71677,gen_crime,2,False
mov_tmdb_71677,gen_drama,3,False
mov_tmdb_71677,gen_thriller,4,False
mov_tmdb_49849,gen_action,1,True
mov_tmdb_49849,gen_science_fiction,2,False
mov_tmdb_49849,gen_thriller,3,False
mov_tmdb_49849,gen_western,4,False
mov_tmdb_50646,gen_comedy,1,True
mov_tmdb_50646,gen_drama,2,False
mov_tmdb_50646,gen_romance,3,False
mov_tmdb_41513,gen_animation,1,True
mov_tmdb_41513,gen_family,2,False
mov_tmdb_41513,gen_adventure,3,False
mov_tmdb_41513,gen_comedy,4,False
mov_tmdb_41513,gen_fantasy,5,False
mov_tmdb_61791,gen_thriller,1,True
mov_tmdb_61791,gen_action,2,False
mov_tmdb_61791,gen_drama,3,False
mov_tmdb_61791,gen_science_fiction,4,False
mov_tmdb_49520,gen_comedy,1,True
mov_tmdb_50014,gen_drama,1,True
mov_tmdb_55779,gen_horror,1,True
mov_tmdb_55779,gen_mystery,2,False
mov_tmdb_56288,gen_family,1,True
mov_tmdb_56288,gen_comedy,2,False
mov_tmdb_56288,gen_action,3,False
mov_tmdb_56288,gen_adventure,4,False
mov_tmdb_69798,gen_comedy,1,True
mov_tmdb_52451,gen_adventure,1,True
mov_tmdb_52451,gen_action,2,False
mov_tmdb_52451,gen_thriller,3,False
mov_tmdb_39538,gen_drama,1,True
mov_tmdb_39538,gen_thriller,2,False
mov_tmdb_39538,gen_science_fiction,3,False
mov_tmdb_65057,gen_comedy,1,True
mov_tmdb_65057,gen_drama,2,False
mov_tmdb_64690,gen_drama,1,True
mov_tmdb_64690,gen_thriller,2,False
mov_tmdb_64690,gen_crime,3,False
mov_tmdb_58233,gen_crime,1,True
mov_tmdb_58233,gen_action,2,False
mov_tmdb_58233,gen_comedy,3,False
mov_tmdb_49517,gen_drama,1,True
mov_tmdb_49517,gen_thriller,2,False
mov_tmdb_49517,gen_mystery,3,False
mov_tmdb_59965,gen_thriller,1,True
mov_tmdb_59965,gen_action,2,False
mov_tmdb_59965,gen_mystery,3,False
mov_tmdb_62837,gen_drama,1,True
mov_tmdb_62837,gen_family,2,False
mov_tmdb_60308,gen_drama,1,True
mov_tmdb_39254,gen_action,1,True
mov_tmdb_39254,gen_science_fiction,2,False
mov_tmdb_39254,gen_drama,3,False
mov_tmdb_10316,gen_drama,1,True
mov_tmdb_74643,gen_drama,1,True
mov_tmdb_74643,gen_comedy,2,False
mov_tmdb_74643,gen_romance,3,False
mov_tmdb_72571,gen_horror,1,True
mov_tmdb_72571,gen_mystery,2,False
mov_tmdb_17578,gen_adventure,1,True
mov_tmdb_17578,gen_animation,2,False
mov_tmdb_17578,gen_mystery,3,False
mov_tmdb_49530,gen_action,1,True
mov_tmdb_49530,gen_thriller,2,False
mov_tmdb_49530,gen_science_fiction,3,False
mov_tmdb_417859,gen_action,1,True
mov_tmdb_417859,gen_adventure,2,False
mov_tmdb_417859,gen_animation,3,False
mov_tmdb_417859,gen_comedy,4,False
mov_tmdb_417859,gen_family,5,False
mov_tmdb_77338,gen_drama,1,True
mov_tmdb_77338,gen_comedy,2,False
mov_tmdb_59108,gen_action,1,True
mov_tmdb_59108,gen_comedy,2,False
mov_tmdb_88794,gen_drama,1,True
mov_tmdb_88794,gen_crime,2,False
mov_tmdb_88794,gen_history,3,False
mov_tmdb_51052,gen_drama,1,True
