date_key,date,year,quarter,month,month_name,day
20120807,2012-08-07,2012,3,8,August,7
20120808,2012-08-08,2012,3,8,August,8
20120809,2012-08-09,2012,3,8,August,9
20120810,2012-08-10,2012,3,8,August,10
20120815,2012-08-15,2012,3,8,August,15
20120817,2012-08-17,2012,3,8,August,17
20120824,2012-08-24,2012,3,8,August,24
20120829,2012-08-29,2012,3,8,August,29
20120830,2012-08-30,2012,3,8,August,30
20120905,2012-09-05,2012,3,9,September,5
20120906,2012-09-06,2012,3,9,September,6
20120907,2012-09-07,2012,3,9,September,7
20120909,2012-09-09,2012,3,9,September,9
20120912,2012-09-12,2012,3,9,September,12
20120914,2012-09-14,2012,3,9,September,14
20120920,2012-09-20,2012,3,9,September,20
20120921,2012-09-21,2012,3,9,September,21
20120926,2012-09-26,2012,3,9,September,26
20120927,2012-09-27,2012,3,9,September,27
20120928,2012-09-28,2012,3,9,September,28
20121004,2012-10-04,2012,4,10,October,4
20121010,2012-10-10,2012,4,10,October,10
20121011,2012-10-11,2012,4,10,October,11
20121012,2012-10-12,2012,4,10,October,12
20121017,2012-10-17,2012,4,10,October,17
20121018,2012-10-18,2012,4,10,October,18
20121024,2012-10-24,2012,4,10,October,24
20121026,2012-10-26,2012,4,10,October,26
20121101,2012-11-01,2012,4,11,November,1
20121102,2012-11-02,2012,4,11,November,2
20121109,2012-11-09,2012,4,11,November,9
20121113,2012-11-13,2012,4,11,November,13
20121116,2012-11-16,2012,4,11,November,16
20121117,2012-11-17,2012,4,11,November,17
20121120,2012-11-20,2012,4,11,November,20
20121121,2012-11-21,2012,4,11,November,21
20121122,2012-11-22,2012,4,11,November,22
20121129,2012-11-29,2012,4,11,November,29
20121212,2012-12-12,2012,4,12,December,12
20121218,2012-12-18,2012,4,12,December,18
20121219,2012-12-19,2012,4,12,December,19
20121220,2012-12-20,2012,4,12,December,20
20121225,2012-12-25,2012,4,12,December,25
20121226,2012-12-26,2012,4,12,December,26
20130101,2013-01-01,2013,1,1,January,1
20130103,2013-01-03,2013,1,1,January,3
20130109,2013-01-09,2013,1,1,January,9
20130110,2013-01-10,2013,1,1,January,10
20130111,2013-01-11,2013,1,1,January,11
20130115,2013-01-15,2013,1,1,January,15
20130117,2013-01-17,2013,1,1,January,17
