movie_key,tmdb_id,movie_title,release_date,wikipedia_url,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget_usd,box_office_revenue_usd
mov_tmdb_109424,109424,Captain Phillips,2013-10-10,,Action,Drama,Thriller,,,,Paul Greengrass,,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Faysal  Ahmed,Mahat M. Ali,55000000,218791811
mov_tmdb_133805,133805,Carrie,2013-10-16,,Drama,Horror,,,,,Kimberly Peirce,,Chloë Grace Moretz,Julianne Moore,Gabriella Wilde,Ansel Elgort,Alex Russell,30000000,84790678
mov_tmdb_76203,76203,12 Years a Slave,2013-10-18,,Drama,History,,,,,Steve McQueen,,Chiwetel Ejiofor,Michael Fassbender,Lupita Nyong'o,Benedict Cumberbatch,Paul Dano,20000000,187000000
mov_tmdb_208134,208134,Jackass Presents: Bad Grandpa,2013-10-22,,Comedy,,,,,,Jeff Tremaine,,Johnny Knoxville,Jackson Nicoll,Georgina Cates,Catherine Keener,Spike Jonze,15000000,151831537
mov_tmdb_80274,80274,Ender's Game,2013-10-24,,Science Fiction,Action,Adventure,,,,Gavin Hood,,Asa Butterfield,Hailee Steinfeld,Harrison Ford,Viola Davis,Ben Kingsley,110000000,125537191
mov_tmdb_109091,109091,The Counselor,2013-10-25,,Thriller,Crime,Drama,,,,Ridley Scott,,Michael Fassbender,Penélope Cruz,Cameron Diaz,Javier Bardem,Brad Pitt,25000000,71009334
mov_tmdb_175574,175574,Free Birds,2013-10-30,,Animation,Comedy,Family,,,,Jimmy Hayward,,Owen Wilson,Woody Harrelson,Amy Poehler,George Takei,Colm Meaney,55000000,110000000
mov_tmdb_76338,76338,Thor: The Dark World,2013-10-30,,Action,Adventure,Fantasy,,,,Alan Taylor,,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Christopher Eccleston,Anthony Hopkins,170000000,644783140
mov_tmdb_137093,137093,Last Vegas,2013-10-31,,Comedy,,,,,,Jon Turteltaub,,Robert De Niro,Morgan Freeman,Michael Douglas,Kevin Kline,Mary Steenburgen,28000000,134400000
mov_tmdb_204435,204435,Krrish 3,2013-11-01,,Action,Science Fiction,,,,,Rakesh Roshan,,Hrithik Roshan,Priyanka Chopra Jonas,Vivek Oberoi,Kangana Ranaut,Arif Zakaria,20000000,84000000
mov_tmdb_205220,205220,Philomena,2013-11-01,,Drama,,,,,,Stephen Frears,,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,Barbara Jefford,12000000,100100000
mov_tmdb_203833,203833,The Book Thief,2013-11-08,,Drama,,,,,,Brian Percival,,Geoffrey Rush,Sophie Nélisse,Emily Watson,Nico Liersch,Ben Schnetzer,19000000,76586316
mov_tmdb_146304,146304,The Best Man Holiday,2013-11-15,,Comedy,,,,,,Malcolm D. Lee,,Terrence Howard,Harold Perrineau,Morris Chestnut,Sanaa Lathan,Taye Diggs,17000000,71625195
mov_tmdb_101299,101299,The Hunger Games: Catching Fire,2013-11-15,,Adventure,Action,Science Fiction,,,,Francis Lawrence,,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks,130000000,865011746
mov_tmdb_109445,109445,Frozen,2013-11-20,,Animation,Family,Adventure,Fantasy,,,Jennifer Lee,Chris Buck,Idina Menzel,Kristen Bell,Jonathan Groff,Josh Gad,Livvy Stubenrauch,150000000,1274219009
mov_tmdb_140823,140823,Saving Mr. Banks,2013-11-29,,Comedy,Drama,History,,,,John Lee Hancock,,Emma Thompson,Tom Hanks,Colin Farrell,Paul Giamatti,Ruth Wilson,35000000,112544580
